역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
150,서울역(1),승차,26957163,2261233,2095560,2301776,2240796,2389357,2140831,2175852,2204758,2101292,2351704,2351493,2342511
150,서울역(1),하차,23706167,1918388,1807811,2008329,1986950,2114223,1879859,1922251,1919073,1857155,2091120,2114183,2086825
151,시청(1),승차,8850295,763209,643068,726632,734024,759092,668669,734494,746520,681830,783695,802821,806241
151,시청(1),하차,8852403,752956,632052,729801,736314,756302,662774,727099,739988,694309,794526,822280,804002
152,종각,승차,17233490,1601742,1381290,1460376,1363700,1436902,1263631,1492317,1441098,1276587,1465469,1511770,1538608
152,종각,하차,16423916,1502558,1294734,1382154,1311370,1371702,1230159,1453966,1387193,1218566,1385540,1414560,1471414
153,종로3가(1),승차,13430601,1201084,1048134,1204579,1126171,1182318,1045924,1160531,1076640,980322,1124361,1104281,1176256
153,종로3가(1),하차,12707609,1167750,1011780,1132658,1058182,1097002,983881,1122364,1036026,920764,1042821,1031883,1102498
154,종로5가,승차,9965424,845635,747883,882602,861583,878096,787686,838609,779156,728190,874570,867988,873426
154,종로5가,하차,10032835,850360,749159,889283,869053,883608,794535,847354,785950,736775,883041,870652,873065
155,동대문(1),승차,5912835,464164,427461,514550,488204,535224,494066,488719,470126,476816,526218,503057,524230
155,동대문(1),하차,6776934,530082,492889,596317,557728,617654,564515,554899,538732,540675,602375,580038,601030
156,신설동(1),승차,6134659,516450,456548,543930,537597,540878,493580,515913,483635,467552,536589,522958,519029
156,신설동(1),하차,5994398,505156,445478,532368,525411,528485,481213,504919,472523,457955,525887,510418,504585
157,제기동,승차,7233407,601802,536834,633284,623748,626462,596180,593638,572540,602117,646107,599647,601048
157,제기동,하차,7448870,616384,553012,649716,642188,644012,615453,609865,589232,628315,668369,616993,615331
158,청량리,승차,11632245,989118,890282,1045097,995923,1027575,946829,934096,930955,931805,1002391,970559,967615
158,청량리,하차,11896791,1007152,911872,1064330,1015135,1054066,965485,954855,956601,949001,1022370,999121,996803
159,동묘앞(1),승차,3289902,249287,233441,307744,287575,297681,273876,249075,253713,263391,301570,289392,283157
159,동묘앞(1),하차,3466705,261411,244679,321678,304320,314507,288989,264789,266154,278550,318984,305571,297073
201,시청(2),승차,9748384,860151,748276,825866,846542,810663,733367,828185,792222,723445,830842,861714,887111
