역번호,역      명,구분,계,일평균,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
150,서울역(1),승차,21460135,58795,1757114,1719707,1842051,1789562,1846760,1784305,1715270,1748497,1770614,1747729,1843242,1895284
150,서울역(1),하차,19133456,52420,1539715,1491098,1634217,1600747,1647742,1601672,1527355,1554356,1614739,1566086,1662039,1693690
151,시청(1),승차,9147473,25062,729203,811859,877868,758558,714315,716184,702816,701634,785606,721226,822078,806126
151,시청(1),하차,9233278,25297,721799,836057,896836,768635,720353,723263,712031,705638,795724,732099,822460,798383
152,종각,승차,16610138,45507,1377304,1416663,1520725,1378252,1325214,1320383,1367033,1362223,1364925,1226817,1437967,1512632
152,종각,하차,15678786,42956,1288386,1320976,1417757,1284293,1258067,1267809,1311828,1306542,1301015,1150175,1350116,1421822
153,종로3가(1),승차,12917194,35390,1051270,1066026,1172889,1072171,1072817,1039166,1063220,1046877,1083918,1029040,1090453,1129347
153,종로3가(1),하차,11976672,32813,986269,991407,1075640,986957,991255,959227,1006796,981248,999182,945725,1003319,1049647
154,종로5가,승차,9612130,26335,759837,792596,898735,814055,815938,787199,756094,756363,808282,747105,836520,839406
154,종로5가,하차,9610353,26330,750787,790185,895833,817346,819167,795987,762700,757654,815982,743576,826903,834233
155,동대문(1),승차,5715972,15660,447160,437864,517438,490288,498075,473481,457646,441335,476380,487059,493475,495771
155,동대문(1),하차,6515100,17850,506929,500072,590553,565309,580101,542154,524844,503306,535118,558546,546412,561756
156,신설동(1),승차,5792622,15870,450546,450884,529934,496134,478602,477294,462501,455582,510358,458367,514180,508240
156,신설동(1),하차,5658396,15502,440673,439949,516360,486881,469927,468479,450187,445380,498083,444569,503963,493945
157,제기동,승차,7297929,19994,594900,550530,645622,611809,619947,605484,573266,585739,668666,580187,640255,621524
157,제기동,하차,7469763,20465,614350,561671,659228,623288,631542,616166,583487,598484,691675,594134,660295,635443
158,청량리,승차,10194584,27930,851379,799071,927789,867150,881831,840018,808788,814786,890297,817835,843457,852183
158,청량리,하차,10538677,28873,878674,826466,957075,892268,911299,864608,833584,840105,920270,846014,880658,887656
159,동묘앞(1),승차,3786298,10374,280165,286714,347979,336834,336793,314530,290242,291002,331558,338233,320357,311891
159,동묘앞(1),하차,4008302,10980,297564,305022,372343,360234,358147,332962,307282,306823,346510,358987,336156,326272
201,시청(2),승차,8777865,24049,711134,761543,825983,721719,675427,705504,713540,705939,737660,650991,785844,782581
201,시청(2),하차,8401466,23018,674032,729440,791987,685642,647661,685082,686041,674316,715209,626867,755553,729636
202,을지로입구,승차,17825270,48836,1482687,1502311,1620859,1483828,1420908,1437022,1416352,1450509,1480711,1342176,1561664,1626243
202,을지로입구,하차,17635030,48315,1465676,1459036,1588165,1461366,1416425,1446246,1414980,1447445,1474014,1319803,1546396,1595478
203,을지로3가(2),승차,7334125,20093,591931,612736,678406,614890,576243,597771,603772,598837,618505,541447,656201,643386
203,을지로3가(2),하차,7256666,19881,581200,594530,658436,610411,573260,596259,604625,600230,618076,535096,647888,636655
204,을지로4가(2),승차,4557659,12487,369779,375683,420816,383049,378688,378402,366604,371341,396437,334577,395174,387109
204,을지로4가(2),하차,4429791,12136,355731,363430,409212,372905,369033,368992,355189,359664,386378,325228,384502,379527
205,동대문역사문화공원(2),승차,7002291,19184,523365,529691,625006,604408,619750,598459,591742,577531,574326,558674,596337,603002
