역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
150,서울역(1),승차,12956200,1656310,1165571,820317,919843,1086370,1127913,1221712,1015733,863001,1094090,1139047,846293
150,서울역(1),하차,12303297,1541980,1105597,781079,883707,1026259,1073235,1169903,970557,842058,1027907,1079046,801969
151,시청(1),승차,6090871,733284,572773,441666,436556,480932,517110,560611,461172,427762,493683,533992,431330
151,시청(1),하차,6139052,744078,576868,446651,437516,481765,524978,573487,461786,426149,500740,538930,426104
152,종각,승차,10619697,1258392,987940,744697,805716,884760,954524,1044657,821808,694840,858673,893607,670083
152,종각,하차,10339204,1204168,957903,731236,780994,860694,937985,1025245,804551,683290,844324,864448,644366
153,종로3가(1),승차,8126211,992098,728608,562310,628279,709067,703246,785596,623609,546019,674534,674692,498153
153,종로3가(1),하차,7623804,943008,692807,532725,596003,665930,657568,738201,588549,505897,624384,622991,455741
154,종로5가,승차,6714924,765406,574483,471234,519004,589582,589455,627931,506893,495066,558971,550003,466896
154,종로5가,하차,6739427,761811,574538,475923,521483,593335,592972,635558,510303,493595,565429,550463,464017
155,동대문(1),승차,3706624,409905,306113,255104,287045,331590,323447,333736,274647,279474,327192,318236,260135
155,동대문(1),하차,3789970,443169,312848,252428,291691,342613,333455,345119,277767,279492,338158,324238,248992
156,신설동(1),승차,4298461,443545,376486,318020,334651,369103,386182,396269,320221,322053,362305,359690,309936
156,신설동(1),하차,4237782,431421,366717,311661,329699,366864,382847,393078,317898,318471,361395,349415,308316
157,제기동,승차,5354804,599324,425406,364978,418534,457006,442072,466338,397046,452082,476013,467123,388882
157,제기동,하차,5494270,619620,431090,373649,428961,469396,453023,477542,406526,470623,488289,476880,398671
158,청량리,승차,6571024,720497,534385,457758,508503,567414,563339,592333,506837,523240,568266,561022,467430
158,청량리,하차,6577936,733338,534366,454676,506028,566974,563154,591315,506369,525931,568436,559246,468103
159,동묘앞(1),승차,2958637,302220,222339,205847,238937,271081,259233,262064,209438,233547,282736,258220,212975
159,동묘앞(1),하차,3083267,316521,232346,214969,252460,284527,270454,273335,216157,239837,295856,267647,219158
201,시청(2),승차,6530755,725183,611481,493861,489161,517187,565740,607769,494004,467306,523330,570558,465175
201,시청(2),하차,6386530,685056,594822,494827,490139,511560,560524,597837,486243,456934,508064,553823,446701
202,을지로입구,승차,11497433,1456980,1074973,802483,833369,902046,991399,1066112,870916,797421,919731,969203,812800
202,을지로입구,하차,11684668,1456356,1100866,824188,859361,917354,1014639,1081821,888602,812052,931999,981475,815955
203,을지로3가(2),승차,5968720,654860,558340,438280,452804,480153,523911,575372,457867,415462,483125,514334,414212
203,을지로3가(2),하차,5962456,654367,557750,438729,456457,483556,525143,576794,456900,415655,481753,507769,407583
204,을지로4가(2),승차,3701710,381024,320707,271152,283992,306178,323766,341163,279220,284307,304103,320076,286022
204,을지로4가(2),하차,3671686,380460,317098,269721,284489,305442,320257,338532,274979,282018,303035,315670,279985
205,동대문역사문화공원(2),승차,4007890,499090,377425,274956,292303,332515,344119,364013,292988,281537,340103,338523,270318
205,동대문역사문화공원(2),하차,4466277,566910,421629,304739,324160,368377,383093,401148,323452,314222,382546,379119,296882
206,신당(2),승차,4216270,423663,359442,310445,329057,358133,366097,386637,327532,323021,359655,363577,309011
206,신당(2),하차,4332230,443432,375577,322492,335230,365858,372872,393381,335296,328097,368054,373394,318547
207,상왕십리,승차,4115465,410048,352106,300516,315089,343358,362505,386782,326875,308434,349540,361106,299106
207,상왕십리,하차,3948890,392898,336952,288361,300404,329165,347377,370012,314175,295632,334748,346985,292181
208,왕십리(2),승차,4975747,531495,445013,362792,383222,420437,433604,467597,391423,354438,424273,431193,330260
208,왕십리(2),하차,4167972,451944,377157,307859,324142,356307,358960,394694,330510,290868,352715,355136,267680
209,한양대,승차,2150166,228095,171425,145240,155393,174584,208170,191966,160151,155897,195538,205952,157755
209,한양대,하차,2322887,244883,185990,155699,169591,192044,231065,206434,169544,165470,216954,223624,161589
210,뚝섬,승차,5852955,550920,497911,455204,472255,489562,509993,554092,449500,438648,498763,518334,417773
210,뚝섬,하차,6278089,582644,531706,490380,504089,525128,550590,596616,482737,472903,535579,556679,449038
211,성수,승차,9274159,869113,793142,732226,738038,754402,808871,869139,725269,703614,771423,816984,691938
211,성수,하차,10208430,939750,864001,801903,814612,838584,896164,969830,801007,776988,854674,896442,754475
212,건대입구(2),승차,10930274,1229823,968264,818035,869218,935560,924989,1023167,849934,747207,935268,933865,694944
212,건대입구(2),하차,11922006,1347807,1046566,879875,943663,1018884,1015358,1133210,932721,811427,1034707,1014116,743672
213,구의,승차,7102762,703030,614770,544753,563542,601326,625916,659398,558939,523726,588192,603178,515992
213,구의,하차,6917194,682227,598722,531764,545106,585005,608248,639724,545050,507848,571821,589190,512489
214,강변,승차,10295159,1255583,932761,709724,762622,897505,895482,963722,813488,694633,875085,856499,638055
214,강변,하차,10213836,1241348,920058,700071,758289,882854,885697,960035,812351,704320,848466,857598,642749
215,잠실나루,승차,4155427,447487,353211,290039,309931,349280,372875,398350,323843,304392,353239,360301,292479
215,잠실나루,하차,4026669,434744,340389,281651,299888,338425,362092,385371,313203,294484,341925,350088,284409
216,잠실(2),승차,20529478,2455713,1840365,1483615,1542836,1731340,1730985,1911482,1593685,1389336,1747280,1757628,1345213
216,잠실(2),하차,20084913,2368223,1778248,1437902,1494846,1687814,1708486,1890706,1571183,1363943,1708673,1741343,1333546
217,잠실새내,승차,6199707,685658,557837,444256,478137,526046,545340,584832,484569,433176,514751,523945,421160
217,잠실새내,하차,6306557,697686,562618,450821,489647,542183,556044,595642,493599,439005,526749,530043,422520
218,종합운동장(2),승차,2269749,277758,196023,145249,153080,182575,192647,213491,186178,155176,214779,208278,144515
218,종합운동장(2),하차,2463123,306215,212744,154716,164594,197271,207956,228674,200542,164768,237284,232757,155602
219,삼성,승차,14825012,1660151,1338834,1016122,1069837,1192784,1342777,1454347,1204968,1028087,1202238,1296773,1018094
219,삼성,하차,15120463,1685134,1368020,1040471,1095098,1220521,1380714,1485874,1228241,1042774,1226927,1325075,1021614
220,선릉,승차,15774541,1553369,1394932,1188739,1237115,1309153,1425274,1511508,1229749,1141029,1277109,1360512,1146052
220,선릉,하차,14109508,1381066,1243805,1064997,1107936,1172076,1275104,1352640,1100372,1020521,1149868,1220299,1020824
221,역삼,승차,13735236,1385973,1248366,1031777,1053283,1113799,1221441,1321431,1089101,996460,1087241,1180799,1005565
221,역삼,하차,15188410,1534563,1382745,1139286,1166026,1233503,1359450,1472146,1206040,1096748,1212784,1304362,1080757
222,강남,승차,25878376,2963094,2428836,1885641,2025530,2160700,2252161,2558732,2060389,1678626,2084264,2168637,1611766
222,강남,하차,26159172,3029152,2476898,1909749,2049417,2183353,2270776,2596694,2084371,1682782,2120075,2182300,1573605
223,교대(2),승차,9809559,1009373,857411,721551,744877,822926,887742,946195,769594,706187,805245,853339,685119
223,교대(2),하차,11046090,1146994,963776,803950,835098,930569,1002580,1069259,864753,795134,912855,961494,759628
224,서초,승차,6204888,629975,554293,430989,452268,524993,576241,584336,480334,444195,518780,567742,440742
