탑승일자,버스정류장ARS번호,총승객수,승차총승객수,하차총승객수
2015-01-01,02003,1036.0,317.0,719.0
2015-01-01,02006,4239.0,2802.0,1437.0
2015-01-01,02282,706.0,126.0,580.0
2015-01-02,02003,1920.0,507.0,1413.0
2015-01-02,02006,7239.0,4557.0,2682.0
2015-01-02,02282,246.0,43.0,203.0
2015-01-03,02003,1507.0,410.0,1097.0
2015-01-03,02006,5746.0,3674.0,2072.0
2015-01-03,02282,464.0,110.0,354.0
2015-01-04,02003,1329.0,388.0,941.0
2015-01-04,02006,5476.0,3679.0,1797.0
2015-01-04,02282,409.0,84.0,325.0
2015-01-05,02003,2070.0,548.0,1522.0
2015-01-05,02006,7733.0,4812.0,2921.0
2015-01-05,02282,185.0,46.0,139.0
2015-01-06,02003,2012.0,510.0,1502.0
2015-01-06,02006,7306.0,4593.0,2713.0
2015-01-06,02282,151.0,31.0,120.0
2015-01-07,02003,2063.0,545.0,1518.0
2015-01-07,02006,7429.0,4549.0,2880.0
2015-01-07,02282,139.0,6.0,133.0
2015-01-08,02003,1978.0,547.0,1431.0
2015-01-08,02006,7501.0,4653.0,2848.0
2015-01-08,02282,142.0,22.0,120.0
2015-01-09,02003,2257.0,639.0,1618.0
2015-01-09,02006,8264.0,5068.0,3196.0
2015-01-09,02282,237.0,46.0,191.0
2015-01-10,02003,1747.0,538.0,1209.0
2015-01-10,02006,6618.0,4111.0,2507.0
2015-01-10,02282,527.0,127.0,400.0
2015-01-11,02003,1369.0,375.0,994.0
2015-01-11,02006,5643.0,3782.0,1861.0
2015-01-11,02282,298.0,56.0,242.0
2015-01-12,02003,1987.0,531.0,1456.0
2015-01-12,02006,7558.0,4690.0,2868.0
2015-01-12,02282,192.0,35.0,157.0
2015-01-13,02003,2033.0,595.0,1438.0
2015-01-13,02006,7674.0,4806.0,2868.0
2015-01-13,02282,214.0,38.0,176.0
2015-01-14,02003,2085.0,621.0,1464.0
2015-01-14,02006,7775.0,4753.0,3022.0
2015-01-14,02282,232.0,35.0,197.0
2015-01-15,02003,2032.0,557.0,1475.0
2015-01-15,02006,7836.0,4899.0,2937.0
2015-01-15,02282,263.0,39.0,224.0
2015-01-16,02003,2103.0,589.0,1514.0
2015-01-16,02006,7902.0,4913.0,2989.0
2015-01-16,02282,154.0,16.0,138.0
2015-01-17,02003,1780.0,519.0,1261.0
2015-01-17,02006,6462.0,3997.0,2465.0
2015-01-17,02282,421.0,74.0,347.0
2015-01-18,02003,1432.0,417.0,1015.0
2015-01-18,02006,5656.0,3831.0,1825.0
2015-01-18,02282,337.0,61.0,276.0
2015-01-19,02003,2064.0,529.0,1535.0
2015-01-19,02006,7683.0,4848.0,2835.0
2015-01-19,02282,233.0,41.0,192.0
2015-01-20,02003,2096.0,556.0,1540.0
2015-01-20,02006,7671.0,4806.0,2865.0
2015-01-20,02282,247.0,38.0,209.0
2015-01-21,02003,1991.0,581.0,1410.0
2015-01-21,02006,7799.0,4800.0,2999.0
2015-01-21,02282,217.0,41.0,176.0
2015-01-22,02003,1952.0,515.0,1437.0
2015-01-22,02006,7795.0,4818.0,2977.0
2015-01-22,02282,243.0,40.0,203.0
2015-01-23,02003,2102.0,651.0,1451.0
2015-01-23,02006,8236.0,5125.0,3111.0
2015-01-23,02282,215.0,33.0,182.0
2015-01-24,02003,1829.0,515.0,1314.0
2015-01-24,02006,6660.0,4144.0,2516.0
2015-01-24,02282,532.0,115.0,417.0
2015-01-25,02003,1315.0,404.0,911.0
2015-01-25,02006,5050.0,3360.0,1690.0
2015-01-25,02282,154.0,32.0,122.0
2015-01-26,02003,1999.0,561.0,1438.0
2015-01-26,02006,7334.0,4624.0,2710.0
2015-01-26,02282,204.0,41.0,163.0
2015-01-27,02003,2048.0,591.0,1457.0
2015-01-27,02006,7393.0,4530.0,2863.0
2015-01-27,02282,227.0,33.0,194.0
2015-01-28,02003,2003.0,555.0,1448.0
2015-01-28,02006,7441.0,4666.0,2775.0
2015-01-28,02282,215.0,29.0,186.0
2015-01-29,02003,1979.0,569.0,1410.0
2015-01-29,02006,7460.0,4621.0,2839.0
2015-01-29,02282,225.0,27.0,198.0
2015-01-30,02003,2119.0,565.0,1554.0
2015-01-30,02006,8056.0,5016.0,3040.0
2015-01-30,02282,227.0,37.0,190.0
2015-01-31,02003,1701.0,465.0,1236.0
2015-01-31,02006,6172.0,3907.0,2265.0
2015-01-31,02282,255.0,83.0,172.0
2015-02-01,02003,1384.0,443.0,941.0
2015-02-01,02006,5590.0,3678.0,1912.0
2015-02-01,02282,277.0,78.0,199.0
2015-02-02,02003,1918.0,536.0,1382.0
2015-02-02,02006,7405.0,4610.0,2795.0
2015-02-02,02282,159.0,29.0,130.0
2015-02-03,02003,1948.0,540.0,1408.0
2015-02-03,02006,7287.0,4494.0,2793.0
2015-02-03,02282,174.0,41.0,133.0
2015-02-04,02003,2043.0,556.0,1487.0
2015-02-04,02006,7442.0,4674.0,2768.0
2015-02-04,02282,126.0,24.0,102.0
2015-02-05,02003,2011.0,530.0,1481.0
2015-02-05,02006,7384.0,4665.0,2719.0
2015-02-05,02282,143.0,16.0,127.0
2015-02-06,02003,2100.0,591.0,1509.0
2015-02-06,02006,7891.0,4967.0,2924.0
2015-02-06,02282,127.0,30.0,97.0
2015-02-07,02003,1618.0,538.0,1080.0
2015-02-07,02006,6624.0,4134.0,2490.0
2015-02-07,02282,428.0,82.0,346.0
2015-02-08,02003,1219.0,348.0,871.0
2015-02-08,02006,4845.0,3176.0,1669.0
2015-02-08,02282,124.0,21.0,103.0
2015-02-09,02003,1979.0,469.0,1510.0
2015-02-09,02006,7059.0,4374.0,2685.0
2015-02-09,02282,130.0,31.0,99.0
2015-02-10,02003,1941.0,521.0,1420.0
2015-02-10,02006,7590.0,4776.0,2814.0
2015-02-10,02282,122.0,25.0,97.0
2015-02-11,02003,2005.0,600.0,1405.0
2015-02-11,02006,7683.0,4803.0,2880.0
2015-02-11,02282,188.0,53.0,135.0
2015-02-12,02003,2033.0,579.0,1454.0
2015-02-12,02006,7676.0,4825.0,2851.0
2015-02-12,02282,112.0,18.0,94.0
2015-02-13,02003,2249.0,641.0,1608.0
2015-02-13,02006,8087.0,5044.0,3043.0
2015-02-13,02282,222.0,39.0,183.0
2015-02-14,02003,1822.0,533.0,1289.0
2015-02-14,02006,6567.0,4074.0,2493.0
2015-02-14,02282,448.0,88.0,360.0
2015-02-15,02003,1440.0,490.0,950.0
2015-02-15,02006,5480.0,3511.0,1969.0
2015-02-15,02282,383.0,84.0,299.0
2015-02-16,02003,1909.0,518.0,1391.0
2015-02-16,02006,7318.0,4521.0,2797.0
2015-02-16,02282,64.0,14.0,50.0
2015-02-17,02003,2031.0,577.0,1454.0
2015-02-17,02006,7775.0,4694.0,3081.0
2015-02-17,02282,131.0,14.0,117.0
2015-02-18,02003,1054.0,273.0,781.0
2015-02-18,02006,4423.0,2564.0,1859.0
2015-02-18,02282,367.0,74.0,293.0
2015-02-19,02003,1048.0,294.0,754.0
2015-02-19,02006,4900.0,3347.0,1553.0
2015-02-19,02282,955.0,325.0,630.0
2015-02-20,02003,1008.0,334.0,674.0
2015-02-20,02006,5272.0,3556.0,1716.0
2015-02-20,02282,1062.0,369.0,693.0
2015-02-21,02003,1144.0,418.0,726.0
2015-02-21,02006,4905.0,3392.0,1513.0
2015-02-21,02282,222.0,64.0,158.0
2015-02-22,02003,1292.0,452.0,840.0
2015-02-22,02006,5663.0,3872.0,1791.0
2015-02-22,02282,348.0,74.0,274.0
2015-02-23,02003,2237.0,578.0,1659.0
2015-02-23,02006,8048.0,5177.0,2871.0
2015-02-23,02282,209.0,47.0,162.0
2015-02-24,02003,2289.0,688.0,1601.0
2015-02-24,02006,7923.0,4931.0,2992.0
2015-02-24,02282,228.0,54.0,174.0
2015-02-25,02003,2252.0,683.0,1569.0
2015-02-25,02006,8102.0,5187.0,2915.0
2015-02-25,02282,180.0,52.0,128.0
2015-02-26,02003,2289.0,651.0,1638.0
2015-02-26,02006,7944.0,5029.0,2915.0
2015-02-26,02282,169.0,35.0,134.0
2015-02-27,02003,2230.0,659.0,1571.0
2015-02-27,02006,8120.0,5182.0,2938.0
2015-02-27,02282,189.0,41.0,148.0
2015-02-28,02003,1750.0,512.0,1238.0
2015-02-28,02006,6499.0,4142.0,2357.0
2015-02-28,02282,471.0,114.0,357.0
2015-03-01,02003,1437.0,455.0,982.0
2015-03-01,02006,5611.0,3819.0,1792.0
