사용일자,노선명,역명,승차총승객수,하차총승객수
2015-01-01,1호선,서울역,47071,40197
2015-01-02,1호선,서울역,76413,67738
2015-01-03,1호선,서울역,61010,51578
2015-01-04,1호선,서울역,53432,43401
2015-01-05,1호선,서울역,73837,64859
2015-01-06,1호선,서울역,69833,63640
2015-01-07,1호선,서울역,69550,63105
2015-01-08,1호선,서울역,71890,64556
2015-01-09,1호선,서울역,82806,73483
2015-01-10,1호선,서울역,69167,61169
2015-01-11,1호선,서울역,53562,45452
2015-01-12,1호선,서울역,72568,66025
2015-01-13,1호선,서울역,72349,65755
2015-01-14,1호선,서울역,72544,64834
2015-01-15,1호선,서울역,75059,67338
2015-01-16,1호선,서울역,83062,73726
2015-01-17,1호선,서울역,69810,61166
2015-01-18,1호선,서울역,55649,47887
2015-01-19,1호선,서울역,73014,66404
2015-01-20,1호선,서울역,72658,65848
2015-01-21,1호선,서울역,71819,64317
2015-01-22,1호선,서울역,74047,66184
2015-01-23,1호선,서울역,83015,73257
2015-01-24,1호선,서울역,69137,61850
2015-01-25,1호선,서울역,53606,45722
2015-01-26,1호선,서울역,71326,64302
2015-01-27,1호선,서울역,72045,64929
2015-01-28,1호선,서울역,71047,63845
2015-01-29,1호선,서울역,72586,65020
2015-01-30,1호선,서울역,80814,71040
2015-01-31,1호선,서울역,65890,58141
2015-02-01,1호선,서울역,51824,44842
2015-02-02,1호선,서울역,68263,62397
2015-02-03,1호선,서울역,67940,62127
2015-02-04,1호선,서울역,69355,61936
2015-02-05,1호선,서울역,71297,63440
2015-02-06,1호선,서울역,80210,70745
2015-02-07,1호선,서울역,68115,60214
2015-02-08,1호선,서울역,49549,42579
2015-02-09,1호선,서울역,69988,63361
2015-02-10,1호선,서울역,71636,64739
2015-02-11,1호선,서울역,73841,66077
2015-02-12,1호선,서울역,76204,68507
2015-02-13,1호선,서울역,82282,72960
2015-02-14,1호선,서울역,65358,58052
2015-02-15,1호선,서울역,47148,44000
2015-02-16,1호선,서울역,69218,71632
2015-02-17,1호선,서울역,68421,78144
2015-02-18,1호선,서울역,44847,51958
2015-02-19,1호선,서울역,46475,44042
2015-02-20,1호선,서울역,56775,42260
2015-02-21,1호선,서울역,61307,40747
2015-02-22,1호선,서울역,58085,40791
2015-02-23,1호선,서울역,81634,67256
2015-02-24,1호선,서울역,83402,70871
2015-02-25,1호선,서울역,84524,72807
2015-02-26,1호선,서울역,83168,72231
2015-02-27,1호선,서울역,88525,75729
2015-02-28,1호선,서울역,77236,66599
2015-03-01,1호선,서울역,55431,47750
2015-03-02,1호선,서울역,69723,63743
2015-03-03,1호선,서울역,68122,62096
2015-03-04,1호선,서울역,68335,61630
2015-03-05,1호선,서울역,71040,64235
2015-03-06,1호선,서울역,82599,72891
2015-03-07,1호선,서울역,71386,62423
2015-03-08,1호선,서울역,54634,47204
2015-03-09,1호선,서울역,70881,64921
2015-03-10,1호선,서울역,67732,62440
2015-03-11,1호선,서울역,69710,63725
2015-03-12,1호선,서울역,72712,65420
2015-03-13,1호선,서울역,85138,75142
2015-03-14,1호선,서울역,74149,66026
2015-03-15,1호선,서울역,59062,50655
2015-03-16,1호선,서울역,72665,65892
2015-03-17,1호선,서울역,70419,64226
2015-03-18,1호선,서울역,70232,63513
2015-03-19,1호선,서울역,73595,66631
2015-03-20,1호선,서울역,85372,75525
2015-03-21,1호선,서울역,74056,65010
2015-03-22,1호선,서울역,55372,47952
2015-03-23,1호선,서울역,72381,66521
2015-03-24,1호선,서울역,70990,64835
2015-03-25,1호선,서울역,71575,65292
2015-03-26,1호선,서울역,74385,67057
2015-03-27,1호선,서울역,84464,74769
2015-03-28,1호선,서울역,67836,62410
2015-03-29,1호선,서울역,52272,45722
2015-03-30,1호선,서울역,65930,61415
2015-03-31,1호선,서울역,62210,58424
2015-04-01,1호선,서울역,62389,58413
2015-04-02,1호선,서울역,66077,61623
2015-04-03,1호선,서울역,74913,70352
2015-04-04,1호선,서울역,63016,58697
2015-04-05,1호선,서울역,52946,45173
2015-04-06,1호선,서울역,66163,60812
2015-04-07,1호선,서울역,64631,59404
2015-04-08,1호선,서울역,64441,59176
2015-04-09,1호선,서울역,66144,60349
2015-04-10,1호선,서울역,77127,69415
2015-04-11,1호선,서울역,70851,63568
