사용일자,노선명,역명,승차총승객수,하차총승객수
2015-01-01,공항철도,서울역,12059,12439
2015-01-02,공항철도,서울역,17936,18401
2015-01-03,공항철도,서울역,15544,15976
2015-01-04,공항철도,서울역,14880,14033
2015-01-05,공항철도,서울역,17461,17640
2015-01-06,공항철도,서울역,16567,16825
2015-01-07,공항철도,서울역,16650,16557
2015-01-08,공항철도,서울역,16726,16885
2015-01-09,공항철도,서울역,19104,19879
2015-01-10,공항철도,서울역,17096,18591
2015-01-11,공항철도,서울역,14340,14323
2015-01-12,공항철도,서울역,17156,17261
2015-01-13,공항철도,서울역,17061,17164
2015-01-14,공항철도,서울역,16666,16959
2015-01-15,공항철도,서울역,17505,17804
2015-01-16,공항철도,서울역,18875,19877
2015-01-17,공항철도,서울역,17069,18306
2015-01-18,공항철도,서울역,14933,14174
2015-01-19,공항철도,서울역,17220,17520
2015-01-20,공항철도,서울역,16878,17051
2015-01-21,공항철도,서울역,16761,16920
2015-01-22,공항철도,서울역,17013,17740
2015-01-23,공항철도,서울역,18941,19646
2015-01-24,공항철도,서울역,16627,18289
2015-01-25,공항철도,서울역,14430,13666
2015-01-26,공항철도,서울역,16801,17200
2015-01-27,공항철도,서울역,16642,17240
2015-01-28,공항철도,서울역,16375,16845
2015-01-29,공항철도,서울역,16823,17622
2015-01-30,공항철도,서울역,18679,19194
2015-01-31,공항철도,서울역,15685,16819
2015-02-01,공항철도,서울역,13945,13985
2015-02-02,공항철도,서울역,16208,16801
2015-02-03,공항철도,서울역,16016,16386
2015-02-04,공항철도,서울역,15914,16585
2015-02-05,공항철도,서울역,16437,16735
2015-02-06,공항철도,서울역,18489,19318
2015-02-07,공항철도,서울역,16486,17755
2015-02-08,공항철도,서울역,13181,12964
2015-02-09,공항철도,서울역,16220,16789
2015-02-10,공항철도,서울역,16757,17263
2015-02-11,공항철도,서울역,17351,17921
2015-02-12,공항철도,서울역,17738,18405
2015-02-13,공항철도,서울역,19485,19916
2015-02-14,공항철도,서울역,16652,17886
2015-02-15,공항철도,서울역,13392,13949
2015-02-16,공항철도,서울역,17035,18720
2015-02-17,공항철도,서울역,16866,19922
2015-02-18,공항철도,서울역,10760,14649
2015-02-19,공항철도,서울역,12131,13100
2015-02-20,공항철도,서울역,14650,13207
2015-02-21,공항철도,서울역,15934,13274
2015-02-22,공항철도,서울역,15897,13753
2015-02-23,공항철도,서울역,19479,18905
2015-02-24,공항철도,서울역,19065,19750
2015-02-25,공항철도,서울역,19081,20253
2015-02-26,공항철도,서울역,18913,20121
2015-02-27,공항철도,서울역,20279,21122
2015-02-28,공항철도,서울역,18397,19741
2015-03-01,공항철도,서울역,14341,14839
2015-03-02,공항철도,서울역,17000,17720
2015-03-03,공항철도,서울역,16636,16988
2015-03-04,공항철도,서울역,16644,16816
2015-03-05,공항철도,서울역,17117,17646
2015-03-06,공항철도,서울역,20134,19891
2015-03-07,공항철도,서울역,17257,18324
2015-03-08,공항철도,서울역,14272,14643
2015-03-09,공항철도,서울역,17401,17640
2015-03-10,공항철도,서울역,16573,17487
2015-03-11,공항철도,서울역,16972,17283
2015-03-12,공항철도,서울역,17540,17936
2015-03-13,공항철도,서울역,20061,20272
2015-03-14,공항철도,서울역,18227,19689
2015-03-15,공항철도,서울역,14946,15490
2015-03-16,공항철도,서울역,17862,18545
2015-03-17,공항철도,서울역,17017,17687
2015-03-18,공항철도,서울역,16734,16978
2015-03-19,공항철도,서울역,17870,18440
2015-03-20,공항철도,서울역,20737,20754
2015-03-21,공항철도,서울역,18072,19342
2015-03-22,공항철도,서울역,14641,14847
2015-03-23,공항철도,서울역,17939,18400
2015-03-24,공항철도,서울역,17532,17700
2015-03-25,공항철도,서울역,17347,17901
2015-03-26,공항철도,서울역,18304,18816
2015-03-27,공항철도,서울역,20387,20652
2015-03-28,공항철도,서울역,15106,11944
2015-03-29,공항철도,서울역,11749,10038
2015-03-30,공항철도,서울역,12707,11079
2015-03-31,공항철도,서울역,11558,9705
2015-04-01,공항철도,서울역,11299,9292
2015-04-02,공항철도,서울역,11808,9687
2015-04-03,공항철도,서울역,14124,11542
2015-04-04,공항철도,서울역,12576,11250
2015-04-05,공항철도,서울역,11487,9519
2015-04-06,공항철도,서울역,12009,9831
2015-04-07,공항철도,서울역,11062,9171
2015-04-08,공항철도,서울역,11473,9487
2015-04-09,공항철도,서울역,11688,9512
