사용일자,노선명,역명,승차총승객수,하차총승객수
2015-01-01,경의선,서울역,1789,1084
2015-01-02,경의선,서울역,3743,3476
2015-01-03,경의선,서울역,2357,1666
2015-01-03,경의선,서울역,1,0
2015-01-04,경의선,서울역,2287,1303
2015-01-05,경의선,서울역,4240,4067
2015-01-06,경의선,서울역,3899,3795
2015-01-07,경의선,서울역,3773,3712
2015-01-08,경의선,서울역,3801,3817
2015-01-09,경의선,서울역,4334,4299
2015-01-10,경의선,서울역,2458,1920
2015-01-11,경의선,서울역,2183,1350
2015-01-12,경의선,서울역,3928,3886
2015-01-13,경의선,서울역,3863,3788
2015-01-14,경의선,서울역,3727,3701
2015-01-15,경의선,서울역,3847,3768
2015-01-16,경의선,서울역,3963,4128
2015-01-17,경의선,서울역,2353,1822
2015-01-18,경의선,서울역,2178,1336
2015-01-19,경의선,서울역,3834,3902
2015-01-20,경의선,서울역,3711,3694
2015-01-21,경의선,서울역,3666,3647
2015-01-21,경의선,서울역,1,0
2015-01-22,경의선,서울역,3721,3783
2015-01-23,경의선,서울역,3901,4041
2015-01-24,경의선,서울역,2354,2076
2015-01-25,경의선,서울역,1978,1195
2015-01-26,경의선,서울역,3598,3692
2015-01-27,경의선,서울역,3547,3700
2015-01-28,경의선,서울역,3428,3577
2015-01-29,경의선,서울역,3603,3731
2015-01-30,경의선,서울역,3696,3919
2015-01-31,경의선,서울역,2046,1684
2015-02-01,경의선,서울역,1932,1291
2015-02-02,경의선,서울역,3574,3729
2015-02-03,경의선,서울역,3345,3539
2015-02-04,경의선,서울역,3353,3587
2015-02-05,경의선,서울역,3395,3664
2015-02-06,경의선,서울역,3786,4094
2015-02-07,경의선,서울역,2150,1870
2015-02-08,경의선,서울역,1747,1212
2015-02-09,경의선,서울역,3359,3535
2015-02-10,경의선,서울역,3376,3510
2015-02-11,경의선,서울역,3416,3725
2015-02-12,경의선,서울역,3530,3708
2015-02-13,경의선,서울역,3773,4004
2015-02-14,경의선,서울역,1,0
2015-02-14,경의선,서울역,2147,1815
2015-02-15,경의선,서울역,1797,1182
2015-02-16,경의선,서울역,3378,3744
2015-02-16,경의선,서울역,1,0
2015-02-17,경의선,서울역,3538,3907
2015-02-18,경의선,서울역,2127,1547
2015-02-19,경의선,서울역,2355,1437
2015-02-20,경의선,서울역,2372,1339
2015-02-21,경의선,서울역,2347,1342
2015-02-22,경의선,서울역,2100,1225
2015-02-23,경의선,서울역,1,0
2015-02-23,경의선,서울역,4036,4072
2015-02-24,경의선,서울역,3956,4121
2015-02-25,경의선,서울역,4012,4157
2015-02-26,경의선,서울역,3944,4128
2015-02-27,경의선,서울역,3927,4144
2015-02-28,경의선,서울역,2402,1902
2015-03-01,경의선,서울역,2090,1380
2015-03-02,경의선,서울역,3669,4256
2015-03-03,경의선,서울역,3467,4166
2015-03-04,경의선,서울역,3424,4120
2015-03-05,경의선,서울역,3595,4208
2015-03-06,경의선,서울역,4112,4720
2015-03-06,경의선,서울역,1,0
2015-03-07,경의선,서울역,2458,2031
2015-03-08,경의선,서울역,1934,1409
2015-03-09,경의선,서울역,3730,4469
2015-03-09,경의선,서울역,1,0
2015-03-10,경의선,서울역,3188,2021
2015-03-11,경의선,서울역,3497,4204
2015-03-12,경의선,서울역,3575,4160
2015-03-13,경의선,서울역,4099,4864
2015-03-14,경의선,서울역,2412,2090
2015-03-14,경의선,서울역,1,0
2015-03-15,경의선,서울역,2090,1500
2015-03-16,경의선,서울역,3910,4544
2015-03-17,경의선,서울역,1,0
2015-03-17,경의선,서울역,3744,4261
2015-03-18,경의선,서울역,3522,4144
2015-03-19,경의선,서울역,3692,4346
2015-03-19,경의선,서울역,1,0
2015-03-20,경의선,서울역,4129,4818
2015-03-21,경의선,서울역,1,0
2015-03-21,경의선,서울역,2662,2140
2015-03-22,경의선,서울역,1926,1408
2015-03-23,경의선,서울역,3701,4429
2015-03-24,경의선,서울역,3629,4340
2015-03-25,경의선,서울역,3755,4384
2015-03-26,경의선,서울역,1,0
2015-03-26,경의선,서울역,3746,4499
2015-03-27,경의선,서울역,1,0
2015-03-27,경의선,서울역,3964,4706
2015-03-28,경의선,서울역,2388,2088
2015-03-29,경의선,서울역,1,0
2015-03-29,경의선,서울역,1953,1301
2015-03-30,경의선,서울역,3720,4426
2015-03-31,경의선,서울역,3570,4151
2015-04-01,경의선,서울역,3630,4433
2015-04-02,경의선,서울역,3518,4330
2015-04-03,경의선,서울역,3979,4743
2015-04-04,경의선,서울역,2585,2290
2015-04-05,경의선,서울역,2284,1548
2015-04-06,경의선,서울역,3829,4473
2015-04-07,경의선,서울역,3757,4398
2015-04-08,경의선,서울역,3676,4236
2015-04-09,경의선,서울역,3748,4306
2015-04-10,경의선,서울역,4218,4731
2015-04-11,경의선,서울역,2719,2390
2015-04-12,경의선,서울역,2193,1538
2015-04-13,경의선,서울역,3779,4426
2015-04-14,경의선,서울역,3369,3998
2015-04-15,경의선,서울역,3676,4205
2015-04-16,경의선,서울역,3585,4114
2015-04-17,경의선,서울역,4118,4765
2015-04-18,경의선,서울역,2985,2221
2015-04-18,경의선,서울역,1,0
2015-04-19,경의선,서울역,1773,1252
2015-04-20,경의선,서울역,3671,4265
2015-04-21,경의선,서울역,3757,4115
2015-04-22,경의선,서울역,3509,4154
2015-04-23,경의선,서울역,3721,4163
