,사용일자,1호선승차,1호선하차,4호선승차,4호선하차,공항철도승차,공항철도하차,경의선승차,경의선하차
0,2015-01-01,47071,40197,3943.0,10823.0,12059.0,12439.0,1789.0,1084.0
1,2015-01-02,76413,67738,10630.0,19989.0,17936.0,18401.0,3743.0,3476.0
2,2015-01-03,61010,51578,6091.0,15151.0,15544.0,15976.0,2357.0,1666.0
3,2015-01-03,61010,51578,6091.0,15151.0,15544.0,15976.0,1.0,0.0
4,2015-01-04,53432,43401,5099.0,12195.0,14880.0,14033.0,2287.0,1303.0
5,2015-01-05,73837,64859,11648.0,19142.0,17461.0,17640.0,4240.0,4067.0
6,2015-01-06,69833,63640,12691.0,19450.0,16567.0,16825.0,3899.0,3795.0
7,2015-01-07,69550,63105,12771.0,19369.0,16650.0,16557.0,3773.0,3712.0
8,2015-01-08,71890,64556,12408.0,19912.0,16726.0,16885.0,3801.0,3817.0
9,2015-01-09,82806,73483,13222.0,21858.0,19104.0,19879.0,4334.0,4299.0
10,2015-01-10,69167,61169,7579.0,18590.0,17096.0,18591.0,2458.0,1920.0
11,2015-01-11,53562,45452,5639.0,13588.0,14340.0,14323.0,2183.0,1350.0
12,2015-01-12,72568,66025,12229.0,19670.0,17156.0,17261.0,3928.0,3886.0
13,2015-01-13,72349,65755,12523.0,19943.0,17061.0,17164.0,3863.0,3788.0
14,2015-01-14,72544,64834,12385.0,19850.0,16666.0,16959.0,3727.0,3701.0
15,2015-01-15,75059,67338,12290.0,21071.0,17505.0,17804.0,3847.0,3768.0
16,2015-01-16,83062,73726,12914.0,22021.0,18875.0,19877.0,3963.0,4128.0
17,2015-01-17,69810,61166,7538.0,18655.0,17069.0,18306.0,2353.0,1822.0
18,2015-01-18,55649,47887,5582.0,14184.0,14933.0,14174.0,2178.0,1336.0
19,2015-01-19,73014,66404,12236.0,19685.0,17220.0,17520.0,3834.0,3902.0
20,2015-01-20,72658,65848,12479.0,19948.0,16878.0,17051.0,3711.0,3694.0
21,2015-01-21,71819,64317,12645.0,20626.0,16761.0,16920.0,3666.0,3647.0
22,2015-01-21,71819,64317,12645.0,20626.0,16761.0,16920.0,1.0,0.0
23,2015-01-22,74047,66184,12332.0,20334.0,17013.0,17740.0,3721.0,3783.0
24,2015-01-23,83015,73257,13316.0,22265.0,18941.0,19646.0,3901.0,4041.0
25,2015-01-24,69137,61850,7727.0,18390.0,16627.0,18289.0,2354.0,2076.0
26,2015-01-25,53606,45722,5232.0,13351.0,14430.0,13666.0,1978.0,1195.0
27,2015-01-26,71326,64302,11747.0,19239.0,16801.0,17200.0,3598.0,3692.0
28,2015-01-27,72045,64929,12290.0,19880.0,16642.0,17240.0,3547.0,3700.0
29,2015-01-28,71047,63845,12434.0,20050.0,16375.0,16845.0,3428.0,3577.0
30,2015-01-29,72586,65020,12115.0,19977.0,16823.0,17622.0,3603.0,3731.0
31,2015-01-30,80814,71040,12872.0,21308.0,18679.0,19194.0,3696.0,3919.0
32,2015-01-31,65890,58141,7183.0,17206.0,15685.0,16819.0,2046.0,1684.0
33,2015-02-01,51824,44842,5427.0,12667.0,13945.0,13985.0,1932.0,1291.0
34,2015-02-02,68263,62397,11722.0,18395.0,16208.0,16801.0,3574.0,3729.0
35,2015-02-03,67940,62127,12171.0,19001.0,16016.0,16386.0,3345.0,3539.0
36,2015-02-04,69355,61936,11990.0,19406.0,15914.0,16585.0,3353.0,3587.0
37,2015-02-05,71297,63440,12072.0,19512.0,16437.0,16735.0,3395.0,3664.0
38,2015-02-06,80210,70745,12552.0,21320.0,18489.0,19318.0,3786.0,4094.0
39,2015-02-07,68115,60214,7525.0,18288.0,16486.0,17755.0,2150.0,1870.0
40,2015-02-08,49549,42579,5176.0,12483.0,13181.0,12964.0,1747.0,1212.0
41,2015-02-09,69988,63361,11892.0,18786.0,16220.0,16789.0,3359.0,3535.0
42,2015-02-10,71636,64739,12007.0,20120.0,16757.0,17263.0,3376.0,3510.0
43,2015-02-11,73841,66077,12459.0,20485.0,17351.0,17921.0,3416.0,3725.0
44,2015-02-12,76204,68507,12288.0,21484.0,17738.0,18405.0,3530.0,3708.0
45,2015-02-13,82282,72960,13037.0,22321.0,19485.0,19916.0,3773.0,4004.0
46,2015-02-14,65358,58052,7507.0,17922.0,16652.0,17886.0,1.0,0.0
47,2015-02-14,65358,58052,7507.0,17922.0,16652.0,17886.0,2147.0,1815.0
48,2015-02-15,47148,44000,5314.0,13348.0,13392.0,13949.0,1797.0,1182.0
49,2015-02-16,69218,71632,11465.0,19864.0,17035.0,18720.0,3378.0,3744.0
50,2015-02-16,69218,71632,11465.0,19864.0,17035.0,18720.0,1.0,0.0
51,2015-02-17,68421,78144,10814.0,19269.0,16866.0,19922.0,3538.0,3907.0
52,2015-02-18,44847,51958,3727.0,10566.0,10760.0,14649.0,2127.0,1547.0
53,2015-02-19,46475,44042,4042.0,10533.0,12131.0,13100.0,2355.0,1437.0
54,2015-02-20,56775,42260,4706.0,11171.0,14650.0,13207.0,2372.0,1339.0
55,2015-02-21,61307,40747,4650.0,11140.0,15934.0,13274.0,2347.0,1342.0
56,2015-02-22,58085,40791,4947.0,11206.0,15897.0,13753.0,2100.0,1225.0
57,2015-02-23,81634,67256,12242.0,20568.0,19479.0,18905.0,1.0,0.0
58,2015-02-23,81634,67256,12242.0,20568.0,19479.0,18905.0,4036.0,4072.0
59,2015-02-24,83402,70871,12851.0,23116.0,19065.0,19750.0,3956.0,4121.0
60,2015-02-25,84524,72807,12960.0,23442.0,19081.0,20253.0,4012.0,4157.0
61,2015-02-26,83168,72231,13073.0,23211.0,18913.0,20121.0,3944.0,4128.0
62,2015-02-27,88525,75729,13522.0,23767.0,20279.0,21122.0,3927.0,4144.0
63,2015-02-28,77236,66599,8945.0,21371.0,18397.0,19741.0,2402.0,1902.0
64,2015-03-01,55431,47750,5772.0,14539.0,14341.0,14839.0,2090.0,1380.0
65,2015-03-02,69723,63743,12311.0,19369.0,17000.0,17720.0,3669.0,4256.0
66,2015-03-03,68122,62096,12331.0,19010.0,16636.0,16988.0,3467.0,4166.0
