index,날짜,평균기온,최고기온,최저기온
0,2015-01-01,-7.7,-4.3,-9.8
1,2015-01-02,-6.0,-1.9,-9.0
2,2015-01-03,-2.7,3.1,-9.2
3,2015-01-04,2.5,8.5,0.2
4,2015-01-05,3.7,7.9,-1.1
5,2015-01-06,-3.2,4.0,-7.6
6,2015-01-07,-5.5,-0.6,-8.9
7,2015-01-08,-5.1,-0.2,-9.5
8,2015-01-09,-2.1,3.5,-6.8
9,2015-01-10,-0.3,4.8,-5.6
10,2015-01-11,-0.4,2.5,-4.3
11,2015-01-12,-2.7,3.7,-7.3
12,2015-01-13,0.2,5.8,-5.1
13,2015-01-14,2.5,6.1,-0.3
14,2015-01-15,2.8,9.0,-1.1
15,2015-01-16,0.8,3.4,-2.5
16,2015-01-17,-4.1,0.0,-7.7
17,2015-01-18,-1.3,2.1,-6.5
18,2015-01-19,-0.1,3.1,-4.0
19,2015-01-20,-0.9,4.4,-6.4
20,2015-01-21,2.6,6.5,-1.2
21,2015-01-22,3.1,7.1,0.8
22,2015-01-23,1.2,4.9,-1.6
23,2015-01-24,3.7,8.4,0.8
24,2015-01-25,3.0,5.0,1.1
25,2015-01-26,3.6,6.5,0.2
26,2015-01-27,-3.6,0.5,-7.4
27,2015-01-28,-4.1,2.7,-9.1
28,2015-01-29,-1.1,3.0,-4.6
29,2015-01-30,-3.3,0.8,-7.0
30,2015-01-31,-4.5,0.8,-8.5
31,2015-02-01,-3.0,3.6,-8.2
32,2015-02-02,-0.6,6.4,-5.3
33,2015-02-03,0.6,7.2,-3.5
34,2015-02-04,0.4,5.8,-3.1
35,2015-02-05,-0.1,4.8,-3.8
36,2015-02-06,0.4,6.5,-4.3
37,2015-02-07,1.2,5.7,-2.7
38,2015-02-08,-9.8,-2.8,-11.9
39,2015-02-09,-5.7,-0.1,-13.0
40,2015-02-10,1.7,5.8,-2.0
41,2015-02-11,2.7,8.0,-0.8
42,2015-02-12,-2.2,1.6,-4.7
43,2015-02-13,-1.6,4.0,-6.4
44,2015-02-14,2.0,6.6,-3.1
45,2015-02-15,7.9,13.0,3.2
46,2015-02-16,5.0,7.9,4.1
47,2015-02-17,1.9,4.1,0.5
48,2015-02-18,0.8,3.3,-1.5
