,탑승일자,1호선,4호선,공항철도,경의선,강수량범주,평균기온,최고기온,최저기온,버스정류장1_총승객수,버스정류장2_총승객수,버스정류장3_총승객수
0,2015-01-01,80394.0,14766.0,24498.0,2873.0,0.0,-7.7,-4.3,-9.8,1036.0,4239.0,706.0
1,2015-01-02,135476.0,30619.0,36337.0,7219.0,0.0,-6.0,-1.9,-9.0,1920.0,7239.0,246.0
2,2015-01-03,103156.0,21242.0,31520.0,4023.0,0.0,-2.7,3.1,-9.2,1507.0,5746.0,464.0
3,2015-01-03,103156.0,21242.0,31520.0,1.0,0.0,-2.7,3.1,-9.2,1507.0,5746.0,464.0
4,2015-01-04,86802.0,17294.0,28913.0,3590.0,0.0,2.5,8.5,0.2,1329.0,5476.0,409.0
5,2015-01-05,129718.0,30790.0,35101.0,8307.0,1.0,3.7,7.9,-1.1,2070.0,7733.0,185.0
6,2015-01-06,127280.0,32141.0,33392.0,7694.0,1.0,-3.2,4.0,-7.6,2012.0,7306.0,151.0
7,2015-01-07,126210.0,32140.0,33207.0,7485.0,0.0,-5.5,-0.6,-8.9,2063.0,7429.0,139.0
8,2015-01-08,129112.0,32320.0,33611.0,7618.0,0.0,-5.1,-0.2,-9.5,1978.0,7501.0,142.0
9,2015-01-09,146966.0,35080.0,38983.0,8633.0,0.0,-2.1,3.5,-6.8,2257.0,8264.0,237.0
10,2015-01-10,122338.0,26169.0,35687.0,4378.0,0.0,-0.3,4.8,-5.6,1747.0,6618.0,527.0
11,2015-01-11,90904.0,19227.0,28663.0,3533.0,0.0,-0.4,2.5,-4.3,1369.0,5643.0,298.0
12,2015-01-12,132050.0,31899.0,34417.0,7814.0,0.0,-2.7,3.7,-7.3,1987.0,7558.0,192.0
13,2015-01-13,131510.0,32466.0,34225.0,7651.0,0.0,0.2,5.8,-5.1,2033.0,7674.0,214.0
14,2015-01-14,129668.0,32235.0,33625.0,7428.0,0.0,2.5,6.1,-0.3,2085.0,7775.0,232.0
15,2015-01-15,134676.0,33361.0,35309.0,7615.0,0.0,2.8,9.0,-1.1,2032.0,7836.0,263.0
16,2015-01-16,147452.0,34935.0,38752.0,8091.0,1.0,0.8,3.4,-2.5,2103.0,7902.0,154.0
17,2015-01-17,122332.0,26193.0,35375.0,4175.0,0.0,-4.1,0.0,-7.7,1780.0,6462.0,421.0
18,2015-01-18,95774.0,19766.0,29107.0,3514.0,2.0,-1.3,2.1,-6.5,1432.0,5656.0,337.0
19,2015-01-19,132808.0,31921.0,34740.0,7736.0,2.0,-0.1,3.1,-4.0,2064.0,7683.0,233.0
20,2015-01-20,131696.0,32427.0,33929.0,7405.0,0.0,-0.9,4.4,-6.4,2096.0,7671.0,247.0
21,2015-01-21,128634.0,33271.0,33681.0,7313.0,0.0,2.6,6.5,-1.2,1991.0,7799.0,217.0
22,2015-01-21,128634.0,33271.0,33681.0,1.0,0.0,2.6,6.5,-1.2,1991.0,7799.0,217.0
23,2015-01-22,132368.0,32666.0,34753.0,7504.0,0.0,3.1,7.1,0.8,1952.0,7795.0,243.0
24,2015-01-23,146514.0,35581.0,38587.0,7942.0,0.0,1.2,4.9,-1.6,2102.0,8236.0,215.0
25,2015-01-24,123700.0,26117.0,34916.0,4430.0,0.0,3.7,8.4,0.8,1829.0,6660.0,532.0
26,2015-01-25,91444.0,18583.0,28096.0,3173.0,1.0,3.0,5.0,1.1,1315.0,5050.0,154.0
27,2015-01-26,128604.0,30986.0,34001.0,7290.0,1.0,3.6,6.5,0.2,1999.0,7334.0,204.0
28,2015-01-27,129858.0,32170.0,33882.0,7247.0,0.0,-3.6,0.5,-7.4,2048.0,7393.0,227.0
29,2015-01-28,127690.0,32484.0,33220.0,7005.0,0.0,-4.1,2.7,-9.1,2003.0,7441.0,215.0
30,2015-01-29,130040.0,32092.0,34445.0,7334.0,0.0,-1.1,3.0,-4.6,1979.0,7460.0,225.0
